Adobe,ADOBE,25325.99
Adobe,ADOBE SYSTEMS,30755.63
Adobe,ADOBE SYSTEMS INC,700.0
Adobe,ADOBE SYSTEMS INC.,1470.79
Adobe,ADOBE SYSTEMS INCORPERATED,250.0
Adobe,ADOBE SYSTEMS INCORPORATED,2655.0
Adobe,"ADOBE SYSTEMS, INC",500.0
Adobe,"ADOBE SYSTEMS, INC.",6298.0
Adobe,"ADOBE SYSTEMS, INCORPORATED",372.0
Adobe,"ADOBE, INC",1000.0
Airbnb,AIRBNB,37863.21
Airbnb,AIRBNB INC,375.0
Airbnb,AIRBNB INC.,2700.0
Airbnb,"AIRBNB, INC",1535.0
Airbnb,"AIRBNB, INC.",250.0
Amazon,A9/AMAZON,125.0
Amazon,AMAZON,12003.88
Amazon,AMAZON CORPORATE,266.64
Amazon,AMAZON CORPORATE LLC,1671.74
Amazon,AMAZON EDUCATION,250.0
Amazon,AMAZON INC.,508.0
Amazon,AMAZON LAB,1050.0
Amazon,AMAZON LAB126,350.0
Amazon,AMAZON PUBLISHING,1000.0
Amazon,AMAZON ROBOTICS,390.0
Amazon,AMAZON STUDIOS,1475.0
Amazon,AMAZON WEB SERVICES,11329.4
Amazon,"AMAZON WEB SERVICES, INC.",529.34
Amazon,"AMAZON, INC.",1250.0
Amazon,"AMAZON, LLC",309.5
Amazon,AMAZON.COM,2605.4
Amazon,AMAZON.COM INC,325.0
Amazon,"AMAZON.COM, INC",202273.7
Amazon,"AMAZON.COM, INC.",19080.94
Amazon,"AMAZON.COM, LLC",290.0
Amazon,"AUDIBLE, A DIVISION OF AMAZON",435.0
Amazon,SHOPBOP/AMAZON,299.0
Amazon,WOOT/AMAZON,200.0
Apple,APPLE,18228.65
Apple,APPLE INC,1251.4
Apple,APPLE INC.,444481.69
Apple,APPLE TECHNOLOGIES,450.0
Apple,"APPLE, INC",977.0
Apple,"APPLE, INC.",39832.28
Box,BOX,5560.0
Box,"BOX, INC",750.0
Box,"BOX, INC.",7325.0
Cisco,CISCO,7445.39
Cisco,CISCO INC,670.57
